    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  1    0     2.37587746680696E-18   2.37587746680696E-18
  0    1     1.23486084278753E-18   1.23486084278753E-18
  1    1     9.88735585409693E-31   1.97747117081939E-30
  2    1     2.13492279496090E-37   6.40476838488269E-37
  1    2     1.62389813519654E-38   4.87169440558961E-38
  2    2     7.91610116206303E-02   3.16644046482521E-01
  4    2     4.12661131747314E-60   2.47596679048388E-59
  3    3     8.81088291414350E-29   5.28652974848610E-28
  4    3     1.11525802702947E-31   7.80680618920630E-31
  5    3     1.82992850043045E-42   1.46394280034436E-41
  6    3     7.10934413010379E-53   6.39840971709341E-52
  3    4     2.08125924012497E-33   1.45688146808748E-32
  5    4     1.53217503195226E-19   1.37895752875703E-18
  6    4     1.84418612447931E-25   1.84418612447931E-24
  7    4     1.76005628903003E-36   1.93606191793303E-35
  8    4     4.61756354346853E-49   5.54107625216223E-48
  3    5     6.49254472725128E-53   5.19403578180103E-52
  5    5     1.07387897231950E-26   1.07387897231950E-25
  6    5     3.46044283170165E-27   3.80648711487182E-26
  7    5     2.08093565422049E-38   2.49712278506459E-37
  8    5     2.31232888256453E-50   3.00602754733389E-49
  9    5     9.80832753084271E-65   1.37316585431798E-63
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     2.31235072721941E-34   2.54358579994135E-33
  6    6     2.90706579573118E-03   3.48847895487742E-02
  7    6     3.64667580624707E-09   4.74067854812119E-08
  8    6     1.26066336657841E-02   1.76492871320977E-01
  9    6     7.97901271690181E-13   1.19685190753527E-11
 10    6     2.15448872518111E-24   3.44718196028978E-23
 11    6     1.04330104677465E-36   1.77361177951690E-35
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.12838280711734E-16   4.06689764925254E-15
  7    7     3.25657906169629E-07   4.55921068637480E-06
  8    7     4.09553212703628E-03   6.14329819055442E-02
  9    7     4.94582229099377E-13   7.91331566559002E-12
 10    7     1.74997021296165E-23   2.97494936203480E-22
 11    7     2.16442432083547E-35   3.89596377750384E-34
 12    7     1.61031908783269E-47   3.05960626688211E-46
 13    7     2.31207288564759E-59   4.62414577129517E-58
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     5.87462730071562E-21   8.81194095107343E-20
  8    8     2.31538657248391E-02   3.70461851597426E-01
  9    8     1.96273390716459E-03   3.33664764217980E-02
 10    8     2.41023183896111E-05   4.33841731013000E-04
 11    8     1.59719704746468E-14   3.03467439018289E-13
 12    8     2.81063473260709E-22   5.62126946521419E-21
 13    8     8.03931644066643E-33   1.68825645253995E-31
 14    8     2.15763539896122E-45   4.74679787771469E-44
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     7.54338421744305E-58   1.20694147479089E-56
  8    9     3.45763841637131E-18   5.87798530783123E-17
  9    9     2.10337103473174E-10   3.78606786251712E-09
 10    9     6.55258833460589E-05   1.24499178357512E-03
 11    9     1.25262006399342E-11   2.50524012798684E-10
 12    9     7.07450646532129E-19   1.48564635771747E-17
 13    9     2.91308033453018E-30   6.40877673596639E-29
 14    9     8.72846654870918E-42   2.00754730620311E-40
 15    9     8.21439444386032E-53   1.97145466652648E-51
 16    9     5.40601469680393E-65   1.35150367420098E-63
 17    9     6.61522280815829E-78   1.71995793012115E-76
  7   10     1.62121574266817E-91   2.75606676253589E-90
  8   10     6.10138045893330E-37   1.09824848260799E-35
  9   10     3.24632707398264E-27   6.16802144056701E-26
