    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  1    0     2.37983371294098E-18   2.37983371294098E-18
  0    1     1.23566282916514E-18   1.23566282916514E-18
  1    1     9.91751765976452E-31   1.98350353195290E-30
  2    1     2.14370495130579E-37   6.43111485391738E-37
  1    2     1.62892476242755E-38   4.88677428728266E-38
  2    2     7.91510811559535E-02   3.16604324623814E-01
  4    2     4.13984640606875E-60   2.48390784364125E-59
  3    3     8.83131242612310E-29   5.29878745567386E-28
  4    3     1.11983920426801E-31   7.83887442987605E-31
  5    3     1.84071495659059E-42   1.47257196527247E-41
  6    3     7.16319306574855E-53   6.44687375917370E-52
  3    4     2.08596548436255E-33   1.46017583905379E-32
  5    4     1.53453348404453E-19   1.38108013564008E-18
  6    4     1.85033049547916E-25   1.85033049547916E-24
  7    4     1.76905840070689E-36   1.94596424077758E-35
  8    4     4.64890923656142E-49   5.57869108387370E-48
  3    5     6.51145364063235E-53   5.20916291250588E-52
  5    5     1.07636290535586E-26   1.07636290535586E-25
  6    5     3.46404775506716E-27   3.81045253057387E-26
  7    5     2.08657224353983E-38   2.50388669224780E-37
  8    5     2.32245309953694E-50   3.01918902939802E-49
  9    5     9.86767602505726E-65   1.38147464350802E-63
  3    6     7.49155260801907E-33   6.74239734721716E-32
  4    6     9.66067861636812E-62   9.66067861636812E-61
  5    6     2.31725592717850E-34   2.54898151989635E-33
  6    6     2.90789505336968E-03   3.48947406404361E-02
  7    6     3.65424521058017E-09   4.75051877375422E-08
  8    6     1.25973285889511E-02   1.76362600245316E-01
  9    6     7.98640008113060E-13   1.19796001216959E-11
 10    6     2.16007437448262E-24   3.45611899917219E-23
 11    6     1.04774765155618E-36   1.78117100764551E-35
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.42718963973667E-39   1.71262756768400E-38
  6    7     3.13129785672254E-16   4.07068721373931E-15
  7    7     3.25411639036135E-07   4.55576294650590E-06
  8    7     4.09413708868338E-03   6.14120563302508E-02
  9    7     4.95237046719928E-13   7.92379274751884E-12
 10    7     1.75520500115182E-23   2.98384850195809E-22
 11    7     2.17451381117921E-35   3.91412486012258E-34
 12    7     1.62051956877584E-47   3.07898718067410E-46
 13    7     2.33059297693347E-59   4.66118595386695E-58
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     2.40474221997979E-57   3.12616488597372E-56
  6    8     3.52015635464681E-64   4.92821889650553E-63
  7    8     5.87397687792836E-21   8.81096531689255E-20
  8    8     2.31630798254825E-02   3.70609277207721E-01
  9    8     1.96340378285179E-03   3.33778643084805E-02
 10    8     2.40815051785187E-05   4.33467093213336E-04
 11    8     1.59847512216741E-14   3.03710273211808E-13
 12    8     2.81756773419025E-22   5.63513546838051E-21
